Product Name,Department Name,Warehouse_Zone,Aisle,Rack,Bin_ID,Max_Capacity_Units,Current_Inventory_Units,Utilization_Pct,Total_Picks_YTD
Smart watch ,Fitness,Zone A,7,4,Zone A-A7-R4,1560,966,0.6192307692307693,357
Perfect Fitness Perfect Rip Deck,Apparel,Zone B,20,5,Zone B-A20-R5,1683,285,0.16934046345811052,24515
Under Armour Girls' Toddler Spine Surge Runni,Golf,Zone C,15,3,Zone C-A15-R3,1514,158,0.10435931307793923,10617
Nike Men's Dri-FIT Victory Golf Polo,Golf,Zone C,11,1,Zone C-A11-R1,508,321,0.6318897637795275,21035
Under Armour Men's Compression EV SL Slide,Footwear,Zone D,8,4,Zone D-A8-R4,1756,465,0.26480637813211844,280
Under Armour Women's Micro G Skulpt Running S,Footwear,Zone D,7,5,Zone D-A7-R5,1622,260,0.16029593094944514,287
Nike Men's Free 5.0+ Running Shoe,Footwear,Zone D,19,4,Zone D-A19-R4,1315,575,0.4372623574144487,12169
Glove It Women's Mod Oval 3-Zip Carry All Gol,Outdoors,Zone E,11,5,Zone E-A11-R5,707,101,0.14285714285714285,295
Bridgestone e6 Straight Distance NFL San Dieg,Outdoors,Zone E,11,5,Zone E-A11-R5,1654,1411,0.8530834340991535,310
Columbia Men's PFG Anchor Tough T-Shirt,Golf,Zone C,4,3,Zone C-A4-R3,903,111,0.12292358803986711,304
Titleist Pro V1x Golf Balls,Outdoors,Zone E,8,5,Zone E-A8-R5,651,385,0.5913978494623656,291
Bridgestone e6 Straight Distance NFL Tennesse,Outdoors,Zone E,3,4,Zone E-A3-R4,553,261,0.4719710669077758,257
Polar FT4 Heart Rate Monitor,Outdoors,Zone E,2,5,Zone E-A2-R5,1643,1102,0.6707242848447961,60
ENO Atlas Hammock Straps,Fan Shop,Zone F,12,3,Zone F-A12-R3,1127,427,0.37888198757763975,323
adidas Men's F10 Messi TRX FG Soccer Cleat,Fitness,Zone A,6,3,Zone A-A6-R3,1086,251,0.2311233885819521,305
Brooks Women's Ghost 6 Running Shoe,Footwear,Zone D,2,4,Zone D-A2-R4,1943,1815,0.9341224909933094,66
Nike Men's CJ Elite 2 TD Football Cleat,Apparel,Zone B,1,2,Zone B-A1-R2,1945,1581,0.8128534704370179,22246
Diamondback Women's Serene Classic Comfort Bi,Fan Shop,Zone F,12,2,Zone F-A12-R2,603,501,0.8308457711442786,13729
Industrial consumer electronics,Technology,Zone G,12,5,Zone G-A12-R5,753,235,0.31208499335989376,431
Web Camera,Technology,Zone G,17,1,Zone G-A17-R1,1750,232,0.13257142857142856,592
Dell Laptop,Technology,Zone G,10,5,Zone G-A10-R5,1635,584,0.35718654434250763,442
SOLE E25 Elliptical,Fitness,Zone A,16,4,Zone A-A16-R4,1009,561,0.55599603567889,10
Elevation Training Mask 2.0,Fitness,Zone A,15,4,Zone A-A15-R4,1996,753,0.3772545090180361,74
adidas Men's Germany Black Crest Away Tee,Golf,Zone C,15,4,Zone C-A15-R4,598,480,0.802675585284281,289
Team Golf Pittsburgh Steelers Putter Grip,Outdoors,Zone E,19,4,Zone E-A19-R4,652,215,0.32975460122699385,295
Glove It Urban Brick Golf Towel,Outdoors,Zone E,12,4,Zone E-A12-R4,1413,1300,0.9200283085633404,300
Team Golf Texas Longhorns Putter Grip,Outdoors,Zone E,20,3,Zone E-A20-R3,1377,672,0.4880174291938998,299
Nike Men's Deutschland Weltmeister Winners Bl,Golf,Zone C,3,2,Zone C-A3-R2,837,682,0.8148148148148148,298
Team Golf St. Louis Cardinals Putter Grip,Outdoors,Zone E,5,4,Zone E-A5-R4,1321,350,0.26495079485238454,313
Summer dresses,Apparel,Zone B,19,1,Zone B-A19-R1,1686,758,0.44958481613285883,650
Porcelain crafts,Apparel,Zone B,7,1,Zone B-A7-R1,1456,1011,0.6943681318681318,484
Men's gala suit,Apparel,Zone B,9,1,Zone B-A9-R1,660,143,0.21666666666666667,208
Team Golf Tennessee Volunteers Putter Grip,Outdoors,Zone E,7,1,Zone E-A7-R1,1300,276,0.2123076923076923,300
Team Golf San Francisco Giants Putter Grip,Outdoors,Zone E,18,3,Zone E-A18-R3,897,828,0.9230769230769231,292
Glove It Imperial Golf Towel,Outdoors,Zone E,4,1,Zone E-A4-R1,1800,1273,0.7072222222222222,302
Nike Men's Comfort 2 Slide,Fitness,Zone A,14,4,Zone A-A14-R4,1315,177,0.13460076045627375,328
Under Armour Hustle Storm Medium Duffle Bag,Footwear,Zone D,18,5,Zone D-A18-R5,1915,840,0.4386422976501306,299
Under Armour Kids' Mercenary Slide,Footwear,Zone D,9,1,Zone D-A9-R1,1658,776,0.4680337756332931,251
Under Armour Women's Ignite PIP VI Slide,Footwear,Zone D,2,3,Zone D-A2-R3,1718,1258,0.7322467986030268,285
Nike Men's Free TR 5.0 TB Training Shoe,Footwear,Zone D,20,3,Zone D-A20-R3,900,281,0.31222222222222223,68
adidas Youth Germany Black/Red Away Match Soc,Golf,Zone C,15,1,Zone C-A15-R1,1139,292,0.25636523266022826,314
TYR Boys' Team Digi Jammer,Golf,Zone C,7,5,Zone C-A7-R5,1556,262,0.16838046272493573,300
Glove It Women's Imperial Golf Glove,Outdoors,Zone E,12,1,Zone E-A12-R1,1187,550,0.4633529907329402,307
Titleist Pro V1x High Numbers Golf Balls,Outdoors,Zone E,8,3,Zone E-A8-R3,959,657,0.6850886339937435,265
Bridgestone e6 Straight Distance NFL Carolina,Outdoors,Zone E,15,2,Zone E-A15-R2,1454,217,0.14924346629986246,308
Under Armour Women's Ignite Slide,Footwear,Zone D,3,4,Zone D-A3-R4,969,850,0.8771929824561403,311
Titleist Pro V1x High Numbers Personalized Go,Outdoors,Zone E,14,3,Zone E-A14-R3,1898,903,0.47576396206533195,306
GoPro HERO3+ Black Edition Camera,Footwear,Zone D,17,1,Zone D-A17-R1,1545,469,0.3035598705501618,32
Total Gym 1400,Apparel,Zone B,4,4,Zone B-A4-R4,1249,224,0.17934347477982385,36
Children's heaters,Apparel,Zone B,18,1,Zone B-A18-R1,537,137,0.25512104283054005,652
Team Golf New England Patriots Putter Grip,Outdoors,Zone E,8,1,Zone E-A8-R1,729,652,0.8943758573388203,281
adidas Kids' F5 Messi FG Soccer Cleat,Fitness,Zone A,4,2,Zone A-A4-R2,1888,1213,0.642478813559322,262
Nike Women's Tempo Shorts,Footwear,Zone D,2,4,Zone D-A2-R4,1062,572,0.5386064030131826,318
Glove It Women's Mod Oval Golf Glove,Outdoors,Zone E,6,4,Zone E-A6-R4,937,617,0.6584845250800427,277
Titleist Pro V1 High Numbers Personalized Gol,Outdoors,Zone E,10,2,Zone E-A10-R2,1806,849,0.4700996677740864,292
Under Armour Men's Tech II T-Shirt,Fitness,Zone A,4,3,Zone A-A4-R3,526,379,0.720532319391635,280
Baby sweater,Apparel,Zone B,18,1,Zone B-A18-R1,725,101,0.1393103448275862,207
Mio ALPHA Heart Rate Monitor/Sport Watch,Outdoors,Zone E,12,5,Zone E-A12-R5,1800,1046,0.5811111111111111,67
Field & Stream Sportsman 16 Gun Fire Safe,Fan Shop,Zone F,2,1,Zone F-A2-R1,1297,304,0.23438704703161142,17325
Sports Books ,Book Shop,Zone H,10,1,Zone H-A10-R1,783,158,0.20178799489144317,405
Diamondback Boys' Insight 24 Performance Hybr,Fitness,Zone A,4,3,Zone A-A4-R3,1378,538,0.3904208998548621,29
Polar Loop Activity Tracker,Outdoors,Zone E,14,1,Zone E-A14-R1,1459,259,0.17751884852638794,54
Garmin Forerunner 910XT GPS Watch,Outdoors,Zone E,16,2,Zone E-A16-R2,952,171,0.1796218487394958,35
DVDs ,Discs Shop,Zone I,15,2,Zone I-A15-R2,1519,553,0.3640552995391705,483
CDs of rock,Discs Shop,Zone I,8,4,Zone I-A8-R4,1315,1226,0.932319391634981,271
Nike Kids' Grade School KD VI Basketball Shoe,Fitness,Zone A,14,5,Zone A-A14-R5,1158,288,0.24870466321243523,63
Nike Women's Free 5.0 TR FIT PRT 4 Training S,Footwear,Zone D,8,1,Zone D-A8-R1,1046,119,0.11376673040152964,70
Hirzl Women's Soffft Flex Golf Glove,Outdoors,Zone E,16,1,Zone E-A16-R1,1715,1284,0.7486880466472303,298
The North Face Women's Recon Backpack,Fan Shop,Zone F,13,3,Zone F-A13-R3,1572,1235,0.7856234096692112,57
Lawn mower,Outdoors,Zone E,18,2,Zone E-A18-R2,516,203,0.39341085271317827,484
Nike Dri-FIT Crew Sock 6 Pack,Fitness,Zone A,15,5,Zone A-A15-R5,1695,838,0.4943952802359882,308
Nike Women's Legend V-Neck T-Shirt,Fitness,Zone A,13,4,Zone A-A13-R4,1743,1136,0.6517498565691336,279
Garmin Approach S4 Golf GPS Watch,Outdoors,Zone E,9,2,Zone E-A9-R2,657,92,0.1400304414003044,36
insta-bed Neverflat Air Mattress,Fan Shop,Zone F,15,4,Zone F-A15-R4,976,885,0.9067622950819673,60
Nike Men's Kobe IX Elite Low Basketball Shoe,Golf,Zone C,13,3,Zone C-A13-R3,1569,1339,0.8534098151688974,63
Adult dog supplies,Pet Shop,Zone J,1,3,Zone J-A1-R3,1896,610,0.3217299578059072,492
First aid kit,Health and Beauty ,Zone K,7,1,Zone K-A7-R1,1017,114,0.11209439528023599,362
Garmin Approach S3 Golf GPS Watch,Outdoors,Zone E,9,5,Zone E-A9-R5,598,534,0.8929765886287625,77
Rock music,Discs Shop,Zone I,1,4,Zone I-A1-R4,1560,820,0.5256410256410257,434
Fighting video games,Discs Shop,Zone I,12,2,Zone I-A12-R2,779,435,0.558408215661104,838
Fitbit The One Wireless Activity & Sleep Trac,Outdoors,Zone E,8,3,Zone E-A8-R3,1872,1275,0.6810897435897436,62
Stiga Master Series ST3100 Competition Indoor,Fitness,Zone A,11,1,Zone A-A11-R1,996,620,0.6224899598393574,27
Diamondback Girls' Clarity 24 Hybrid Bike 201,Fitness,Zone A,19,1,Zone A-A19-R1,801,722,0.9013732833957553,28
adidas Brazuca 2014 Official Match Ball,Fitness,Zone A,17,4,Zone A-A17-R4,680,613,0.9014705882352941,65
GolfBuddy VT3 GPS Watch,Outdoors,Zone E,8,3,Zone E-A8-R3,1106,925,0.8363471971066908,59
Bushnell Pro X7 Jolt Slope Rangefinder,Outdoors,Zone E,3,5,Zone E-A3-R5,1622,1039,0.6405672009864365,11
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Footwear,Zone D,3,3,Zone D-A3-R3,1199,936,0.780650542118432,64
Nike Men's Fingertrap Max Training Shoe,Fitness,Zone A,1,4,Zone A-A1-R4,1492,1007,0.6749329758713136,64
Bowflex SelectTech 1090 Dumbbells,Footwear,Zone D,5,4,Zone D-A5-R4,1639,962,0.5869432580841977,10
SOLE E35 Elliptical,Footwear,Zone D,10,3,Zone D-A10-R3,690,144,0.20869565217391303,15
Hirzl Women's Hybrid Golf Glove,Outdoors,Zone E,7,4,Zone E-A7-R4,752,593,0.788563829787234,311
Hirzl Men's Hybrid Golf Glove,Outdoors,Zone E,9,3,Zone E-A9-R3,1480,1180,0.7972972972972973,282
TaylorMade 2014 Purelite Stand Bag,Outdoors,Zone E,7,2,Zone E-A7-R2,1427,901,0.6313945339873861,65
Bag Boy Beverage Holder,Outdoors,Zone E,9,3,Zone E-A9-R3,1684,1342,0.7969121140142518,279
Bag Boy M330 Push Cart,Outdoors,Zone E,8,3,Zone E-A8-R3,1779,1163,0.6537380550871276,69
Clicgear 8.0 Shoe Brush,Outdoors,Zone E,12,4,Zone E-A12-R4,1846,508,0.27518959913326113,285
Titleist Small Wheeled Travel Cover,Outdoors,Zone E,2,4,Zone E-A2-R4,627,208,0.3317384370015949,54
Clicgear Rovic Cooler Bag,Outdoors,Zone E,1,1,Zone E-A1-R1,517,146,0.28239845261121854,284
Titleist Club Glove Travel Cover,Outdoors,Zone E,16,1,Zone E-A16-R1,1065,448,0.42065727699530514,34
Ogio Race Golf Shoes,Outdoors,Zone E,5,2,Zone E-A5-R2,1069,142,0.13283442469597756,61
LIJA Women's Argyle Golf Polo,Outdoors,Zone E,3,1,Zone E-A3-R1,1846,1154,0.6251354279523293,66
LIJA Women's Eyelet Sleeveless Golf Polo,Outdoors,Zone E,12,3,Zone E-A12-R3,1185,457,0.3856540084388186,309
LIJA Women's Button Golf Dress,Outdoors,Zone E,8,4,Zone E-A8-R4,1125,739,0.6568888888888889,76
LIJA Women's Mid-Length Panel Golf Shorts,Outdoors,Zone E,3,1,Zone E-A3-R1,1811,774,0.4273881833241303,73
TaylorMade Women's RBZ SL Rescue,Outdoors,Zone E,1,1,Zone E-A1-R1,1353,919,0.6792313377679231,68
Cleveland Golf Women's 588 RTX CB Satin Chrom,Outdoors,Zone E,3,2,Zone E-A3-R2,1461,569,0.3894592744695414,70
Top Flite Women's 2014 XL Hybrid,Outdoors,Zone E,5,2,Zone E-A5-R2,654,210,0.3211009174311927,303
MDGolf Pittsburgh Penguins Putter,Outdoors,Zone E,15,3,Zone E-A15-R3,989,515,0.5207280080889788,53
TaylorMade White Smoke IN-12 Putter,Outdoors,Zone E,14,4,Zone E-A14-R4,1909,1315,0.6888423258250392,63
Cleveland Golf Collegiate My Custom Wedge 588,Outdoors,Zone E,3,2,Zone E-A3-R2,1284,508,0.3956386292834891,65
Merrell Men's All Out Flash Trail Running Sho,Outdoors,Zone E,1,1,Zone E-A1-R1,1627,1458,0.8961278426551936,85
Merrell Women's Grassbow Sport Waterproof Hik,Outdoors,Zone E,5,4,Zone E-A5-R4,1916,255,0.13308977035490605,58
Merrell Women's Siren Mid Waterproof Hiking B,Outdoors,Zone E,14,4,Zone E-A14-R4,745,339,0.45503355704697984,70
Merrell Women's Grassbow Sport Hiking Shoe,Outdoors,Zone E,7,1,Zone E-A7-R1,1699,1567,0.922307239552678,70
Toys ,Fan Shop,Zone F,9,2,Zone F-A9-R2,1562,883,0.5653008962868118,529
Pelican Sunstream 100 Kayak,Fan Shop,Zone F,15,1,Zone F-A15-R1,1258,578,0.4594594594594595,15500
Pelican Maverick 100X Kayak,Fan Shop,Zone F,15,4,Zone F-A15-R4,1037,604,0.5824493731918997,40
O'Brien Men's Neoprene Life Vest,Fan Shop,Zone F,10,5,Zone F-A10-R5,1420,837,0.5894366197183099,19298
